Introduction,Methodology,Conclusion,Others
,,"['\\section{Conclusion}\\label{sec:conclusion}We have studied the asymptotic properties of RandNLA sampling estimators in LS linear regression models. We showed that under certain regularity conditions on the data distributions and sampling probability distributions, the sampling estimators are asymptotically normally distributed.  Moreover, the sampling estimators are asymptotically unbiased for approximating the full sample OLS estimate and for estimating true coefficients.Based on these asymptotic results, we proposed optimality criteria to assess the performance of the sampling estimators, based on AMSE and EAMSE.In particular, we developed six sampling estimators, i.e.,  IC, RLEV, PL, ICNLEV, RLNLEV, and PLNLEV, for minimizing AMSE and EAMSE, under a variety of settings. These empirical results demonstrate that these new sampling estimators outperform the conventional ones in the literature.For generalization, depending on the application, one may consider criteria other than AMSE and EAMSE. For example, when hypothesis testing problems are of primary interest, the power of the test is a more reasonable choice to serve as a criterion.Developing scalable sampling methods to optimize criteria such as this are of interest. <!--TRUNCATED-->']","[""\\subsection{Relationship of the Sampling Estimators}\\label{subsec:relation}Here, we study the relationships between the probability distributions given by IC, RL, PL, ICNLEV, RLNLEV, PLNLEV, and those given by SLEV and BLEV.\\subsubsection{ ``Shrinkage'' Properties of Proposed Estimators }\\begin{figure}[t] \\centering  \\includegraphics[width=0.75\\textwidth]{Figures_new/illu_orthogonal.pdf}\\caption{Relationship between sampling methods.Left panel: RLNLEV score ($\\sqrt{(1-h_{ii})h_{ii}}$) versus BLEV score ($h_{ii}$). Middle panel: RL score ($\\sqrt{h_{ii}} $) versus BLEV score ($h_{ii}$). Right panel: {SLEV score ($0.9h_{ii}+0.1p/n$, where $p/n=0.2$) versus BLEV score ($h_{ii}$).}}\\label{fig:OptimalShrinkage}\\end{figure}We illustrate the ``shrinkage'' property of the proposed optimal sampling probabilities, compared to the BLEV sampling probabilities.  For convenience,  we refer to the numerators of the sampling probabilities in a sampling estimators as the scores, e.g., the RL score is $\\sqrt{h_{ii}}$ and the RLNLEV score is $\\sqrt{(1-h_{ii})h_{ii}}$. In Figure~\\ref{fig:OptimalShrinkage}, we plot the RL score, RLNLEV score, and SLEV score ($0.9h_{ii}+0.1p/n$ with $p/n=0.2$) as functions of the leverage score $h_{ii}$ (i.e., the BLEV score in Figure~\\ref{fig:OptimalShrinkage}). Observe that the RLNLEV score  amplifies small $h_{ii}$s but shrinks large $h_{ii}$s.  Both RLNLEV and RL scores provide nonlinear shrinkage of the BLEV. The SLEV scores also shrink large $h_{ii}$s and amplify small $h_{ii}$s, but in a linear fashion.The advantage of such ``shrinkage'' is two-fold. On the one hand, the data with high leverage scores could be ``outliers.'' Shrinking the sampling probabilities of high leverage data points reduces the risk of selecting outliers into the sample. On the other hand, amplifying the sampling probabilities of low leverage data points reduces the variance of the resulting sampling estimators. <!--TRUNCATED-->""]"
,,,"['\\textbf{Remark.}The assumption that $\\delta>0$ implies that $\\rho((\\mbf{X}^T\\mbf{X})^{-1}\\mbf{X}^T(\\mbf{W}-\\mbf{I})\\mbf{X})\\rightarrow 0$ as $r\\rightarrow\\infty$. By the convergence of geometric series of matrices, the inverse of $[\\mbf{I}+(\\mbf{X}^T\\mbf{X})^{-1}\\mbf{X}^T(\\mbf{W}-\\mbf{I})\\mbf{X}]=\\mbf{X}^T\\mbf{W}\\mbf{X}$ exists and the expansion in ($\\ref{eqn:talor:inverse}$) is valid asymptotically. In the proof of Theorem~\\ref{thm:beta_tilde-beta} and Theorem~\\ref{thm:beta_tilde-beta_hat}, we will verify the condition in Lemma~\\ref{lem:1}, i.e., that $\\delta>0$.The exact magnitude of $\\delta$ depends on $(\\mbf W-\\mbf I)$, and it is different in Theorem~\\ref{thm:beta_tilde-beta} and Theorem~\\ref{thm:beta_tilde-beta_hat}. In  Appendix~\\ref{sec:proof:thm:beta_tilde-beta} and Appendix~\\ref{sec:proof:thm:beta_tilde-betahat}, we present the proofs of Theorem~\\ref{thm:beta_tilde-beta} and Theorem~\\ref{thm:beta_tilde-beta_hat}, respectively. The proof of Theorem~\\ref{thm:beta_tilde-beta} is much more complicated than that of Theorem~\\ref{thm:beta_tilde-beta_hat}. In conditional inference of Theorem~\\ref{thm:beta_tilde-beta_hat}, the data are given and the only randomness comes from sampling. However, in unconditional inference of Theorem~\\ref{thm:beta_tilde-beta}, we consider both unobserved hypothetical data sampled from the underlying population as well as the sample sampled from observations. Thus, one more layer of randomness needs to take into account. <!--TRUNCATED-->']"
"['\\section{Introduction}Apolarity is an important tool in commutative algebra and algebraic geometry which studies a form, $f$, by the action of polynomial differential operators on $f$. The quotient of all polynomial differential operators by those which annihilate $f$ is called the \\textit{apolar algebra} of $f$. In general, the apolar algebra of a form is useful for determining its Waring rank, which can be seen as the problem of decomposing the supersymmetric tensor, associated to the form, minimally as a sum of rank one supersymmetric tensors. In this article we study the apolar algebra of a product of linear forms, which generalizes the case of monomials and connects to the geometry of hyperplane arrangements.In the first part of the article we provide a bound on the Waring rank of a product of linear forms under certain genericity assumptions; for this we use the defining equations of so-called star configurations due to Geramita, Harbourne, and Migliore. In the second part of the article we use the computer algebra system \\textsc{Bertini}, which operates by homotopy continuation methods, to solve certain rank equations for catalecticant matrices. Our computations suggest that, up to a change of variables, there are exactly six homogeneous polynomials of degree six in three variables which factor completely as a product of linear forms defining an irreducible multi-arrangement and whose apolar algebras have dimension six in degree three.As a consequence of these calculations, we find six cases of such forms with cactus rank six, five of which also have Waring rank six. Among these are products defining subarrangements of the braid and Hessian arrangements. <!--TRUNCATED-->']",,"['\\section{Conclusions and further questions}There are two main results of this paper. The first is a bound on the initial degree of the apolar ideal of a generic arrangement, attained using defining equations of star configurations from~\\cite{GHM13}. From this we obtained a necessary condition on the size of a generic arrangement with a complete intersection apolar algebra, as well as a lower bound on the Waring rank of a generic arrangement. A subsequent question raised by Wakefield~\\cite{W06} remains wide open -- is the apolar algebra of a generic arrangement ever a complete intersection? To this we add two additional questions concerning the optimality of Proposition~\\ref{prop:genericlowdeg} and Corollary~\\ref{cor:genericWaring}. First, are there arbitrarily large generic arrangements in $\\mathbb{P}^n$ whose apolar ideals have initial degree $n+1$? Second, are there arbitrarily large generic arrangements in $\\mathbb{P}^n$ whose Waring rank is $\\binom{2n}{n}$? <!--TRUNCATED-->']","['\\section{Preliminaries}Let $\\mbk$ be an algebraically closed field of characteristic zero and put $R = \\mbk[X_0,\\ldots, X_n]$. Let $S=\\mbk[x_0,\\ldots, x_n]$ be the $R$-module defined by $R$ acting on $S$ via partial differentiation. Given a form $f\\in S$, the \\textit{apolar ideal} of $f$ is $\\text{Ann}_R(f) = \\stl \\vp\\in R :\\vp\\circ f = 0 \\str$. We write $\\ap_f=R/\\text{Ann}_R(f)$; this is the \\textit{apolar algebra} of $f$. The apolar algebra $\\ap_f$ is a graded Artinian Gorenstein algebra, and every graded Artinian Gorenstein algebra arises in this way.Now suppose $f\\in S_d$. A \\textit{Waring decomposition} of $f$ is a decomposition $f=c_1\\ell_1^d+\\cdots+c_k\\ell_k^d$, where $\\ell_1,\\ldots,\\ell_k$ are linear forms and $c_1,\\ldots,c_k\\in\\mbk$. The smallest number of linear forms needed in a Waring decomposition of $f$ is the \\textit{Waring rank} of $f$. We will focus on forms $f\\in S=\\mbk[x_0,\\ldots,x_n]$ which decompose as a product of (not necessarily distinct) linear forms as $f=\\ell_1^{m_1}\\cdots\\ell_k^{m_k}$. A natural geometric object to attach to the product $f=\\ell_1^{m_1}\\cdots\\ell_k^{m_k}$ is the \\textit{multi-arrangement} $(\\A,\\m)$ where $\\A=\\cup_{i=1}^k V(\\ell_i)$ is the union of the hyperplanes $V(\\ell_i)\\subset\\mbk^{n+1}$ and $\\m$ is a function which assigns to each hyperplane $H\\in\\A$ the integer $\\m(H)$, where $\\m(H)$ is the power to which the corresponding linear form appears in $f$. We put $|\\m|=\\sum_H \\m(H)$, which is the degree of the polynomial $f$. If $\\m(H)=1$ for all $H\\in\\A$ we will say $(\\A,\\m)$ is a \\textit{simple} arrangement and write $\\A$ instead of $(\\A,\\m)$. Given a multi-arrangement $(\\A,\\m)$ we define $\\Q(A,\\m):=\\prod_{H\\in\\A} \\alpha_H^{\\m(H)}$, where $\\alpha_H$ is a choice of linear form vanishing on $H$. If $\\A$ is simple then we write $\\Q(\\A)$ for the product $\\prod_{H\\in\\A} \\alpha_H$. We call $\\Q(\\A,\\m)$ and $\\Q(\\A)$ the \\textit{defining polynomial} of the multi-arrangement and arrangement, respectively. Moreover we write $|\\A|$ for the number of hyperplanes in $\\A$, so that if $f=\\Q(\\A,\\m)$, then $|\\A|$ is the number of distinct linear factors of $f$. For simplicity, throughout this note we will conflate a multi-arrangement or arrangement with its defining polynomial. For instance, by ``the apolar algebra of an arrangement"" we will mean the apolar algebra of its defining equation. <!--TRUNCATED-->']"
,,,"['The general problem of determining the degree $d$ irreducible multi-arrangements in $\\mathbb P^n$ that have minimal Waring rank (and minimal cactus rank) is currently out of  reach but  we leave it  as a suggestion for  a further path of research. It is worth  noting that each of the extremal  examples we found has interesting combinatorial properties.  In particular, after a change of coordinates, one is the  defining ideal of the $A_3$ braid arrangement. Another is half  of the Hessian arrangement. Perhaps there is a clue in the structure of these examples  that can help one search for higher degree extremal examples.  One promising avenue is to look for extremal behavior among the simplicial line arrangements catalogued by Grunbaum~\\cite{Grun09}; such arrangements have recently led to interesting examples for the \\textit{containment problem} between regular and symbolic powers~\\cite{SM17}.For now, we leave this as an open problem for the interested reader. <!--TRUNCATED-->']"
"['\\section{Introduction}Numerical linear algebra (NLA) is one of the great achievements of scientific computing. On most computational platforms, we can now routinely and automatically solve small- and medium-scale linear algebra problems to high precision. The purpose of this survey is to describe a set of probabilistic techniques that have joined the mainstream of NLA over the last decade. These new techniques have accelerated everyday computations for small- and medium-size problems, and they have enabled large-scale computations that were beyond the reach of classical methods.NLA definitively treats several major classes of problems, including solution of dense and sparse linear systems; orthogonalization, least-squares, and Tikhonov regularization; determination of eigenvalues, eigenvectors, and invariant subspaces; singular value decomposition (SVD) and total least-squares. In spite of this catalog of successes, important challenges remain. The sheer scale of certain datasets (terabytes and beyond) makes them impervious to classical NLA algorithms. Modern computing architectures (GPUs, multi-core CPUs, massively distributed systems) are powerful, but this power can only be unleashed by algorithms that minimize data movement and that are designed ab initio with parallel computation in mind.Randomization offers novel tools for addressing all of these challenges. This paper surveys these new ideas, provides detailed descriptions of algorithms with a proven track record, and outlines the mathematical techniques used to analyze these methods. Randomized methods can handle certain NLA problems faster than any classical algorithm. Randomization allows us to tackle problems that otherwise seem impossible. From an engineering point of view, randomization has another crucial advantage: it allows us to restructure NLA computations in a fundamentally different way.Before we decide what algorithm to use for a linear algebra computation, we must ask how we are permitted to interact with the data. A recurring theme of this survey is that randomization allows us to reorganize algorithms so that they control whichever computational resource is the most scarce (flops, communication, matrix entry evaluation, etc.). This paper covers fundamental mathematical ideas, as well as algorithms that have proved to be effective in practice. The balance shifts from theory at the beginning toward computational practice at the end. With the practitioner in mind, we have attempted to make the algorithmic sections self-contained, so that they can be read with a minimum of references to other parts of the paper. <!--TRUNCATED-->']",,,"['\\section{Trace estimation by sampling}\\label{sec:trace-est}Randomized methods for trace estimation depend on a natural technical idea: One may construct an unbiased estimator for the trace and then average independent copies to reduce the variance of the estimate. Algorithms of this type are often called \\emph{Monte Carlo methods}. We describe how to use standard methods from probability and statistics to develop \\emph{a priori} and \\emph{a posteriori} guarantees for Monte Carlo trace estimators. We show how to use structured random distributions to improve the computational profile of the estimators. Last, we demonstrate that trace estimators also yield approximations for the Frobenius norm and the Schatten 4-norm of a general matrix.Randomized trace estimation is based on the insight that it is easy to construct a random variable whose expectation equals the trace of the input matrix. Consider a random test vector $\\vct{\\omega} \\in \\F^n$ that is isotropic: $\\Expect[ \\vct{\\omega} \\vct{\\omega}^* ] = \\Id$. By the cyclicity of the trace and by linearity, $X = \\vct{\\omega}^* (\\mtx{A} \\vct{\\omega})$ satisfies $\\Expect X = \\trace(\\mtx{A})$. A single sample of $X$ is rarely adequate because its variance, $\\Var[X]$, will be large. The most common mechanism for reducing the variance is to average $k$ independent copies of $X$.The original application of randomized trace estimation was to perform \\emph{a posteriori} error estimation for large least-squares computations. More specifically, it was used to accelerate cross-validation procedures for estimating the optimal regularization parameter in a smoothing spline. See~\\citeasnoun{FORF18:Improved-Stochastic} for a list of contemporary applications in machine learning, uncertainty quantification, and other fields. <!--TRUNCATED-->']"
,,,"[""A curious observation is that techniques developed for kernel matrices appear to alsobe applicable for certain symmetric positive definite (pd) matrices that are not explicitlypresented as kernel matrices. This is a consequence of the well known fact that any pd matrix$\\mtx{K}$ admits a factorization\\begin{equation}\\label{eq:pd_K_fact}\\mtx{K} = \\mtx{G}^{*}\\mtx{G}\\end{equation}for a so called ``Gramian matrix'' $\\mtx{G}$. (If the eigenvalue decomposition of $\\mtx{K}$takes the form $\\mtx{K} = \\mtx{U}\\mtx{\\Lambda}\\mtx{U}^{*}$, then a matrix of the form$\\mtx{G} = \\mtx{V}\\mtx{\\Lambda}^{1/2}\\mtx{U}^{*}$ is a Gramian if and only if $\\mtx{V}$ is unitary.)The factorization (\\ref{eq:pd_K_fact}) says that the entries of $\\mtx{K}$ are formed bythe inner products between the columns of $\\mtx{G}$,\\begin{equation}\\label{eq:gofmm_kernel}\\mtx{K}(i,j) = \\ip{\\vct{g}_{i}}{\\vct{g}_{j}} = k(\\vct{g}_{i},\\vct{g}_{i}),\\end{equation}where $\\vct{g}_{i}$ is the $i$'th column of $\\mtx{G}$ (the ``Gram vector'') andwhere the $k$ is the inner product kernel of Example \\ref{ex:innerprodkernel}.At this point, it becomes plausible that the techniques of \\cite{2015_biros_ASKIT}for kernel matrices associated with points in high dimensional spaces may applyto certain pd matrices. The key to make this work is the observation that it isnot necessary to explicitly form the Gram factors $\\mtx{G}$. All that is needed inorder to organize the points $\\{\\vct{g}_{i}\\}_{i=1}^{n}$ are relative distancesand angles between the points, and we can evaluate thesefrom the matrix entries of $\\mtx{K}$, via the formula$$\\|\\vct{g}_{i} - \\vct{g}_{j}\\|^{2} =\\|\\vct{g}_{i}\\|^{2} - 2\\mbox{Re}\\,\\ip{\\vct{g}_{i}}{\\vct{g}_{j}} + \\|\\vct{g}_{j}\\|^{2} =\\mtx{K}(i,i) - 2\\mbox{Re}\\,\\mtx{K}(i,j) + \\mtx{K}(j,j).$$The resulting technique was presented in  \\cite{2017_biros_GOFMM} as a ``geometry oblivious FMM (GOFMM)'',along with numerical evidence of its usefulness for important classes of matrices.""]"
,,,"['Consider a standard normal random vector $\\vct{\\omega} \\sim \\normal(\\vct{0}, \\Id)$.  The variance of the resulting trace estimator~\\eqref{eqn:trace-est}--\\eqref{eqn:trace-est-avg} satisfies  \\begin{equation} \\label{eqn:trace-est-girard-var}  \\Var[ \\bar{X}_k ] = \\frac{2}{k} \\sum_{i,j = 1}^n \\abs{ (\\mtx{A})_{ij} }^2 = \\frac{2}{k} \\fnorm{\\mtx{A}}^2  \t\\leq \\frac{2}{k} \\norm{\\mtx{A}} \\trace(\\mtx{A}).  \\end{equation}  The rotational invariance of the standard normal distribution  allows us to characterize the behavior of this estimator in full detail.  Consider a Rademacher random vector $\\vct{\\omega} \\sim \\unif\\{\\pm 1\\}^n$.  The variance of the resulting trace estimator~\\eqref{eqn:trace-est}--\\eqref{eqn:trace-est-avg}  satisfies  $$  \\Var[ \\bar{X}_k ] =  \\frac{4}{k} \\sum_{1 \\leq i < j \\leq n} \\abs{ (\\mtx{A})_{ij} }^2 <  \\frac{2}{k} \\fnorm{\\mtx{A}}^2 \\leq  \\frac{2}{k}  \\norm{\\mtx{A}} \\trace(\\mtx{A}).  $$  This is the minimum variance trace estimator generated by  an isotropic random vector $\\vct{\\omega}$ with statistically independent coordinates.  It also avoids the simulation of normal variables.  \\citeasnoun{Gir89:Fast-Monte-Carlo} also studied the estimator  obtained by drawing $\\vct{\\omega} \\in \\F^n$ uniformly at random from  the sphere $\\sqrt{n} \\, \\mathbb{S}^{n-1}(\\F)$ for $\\F=\\mathbb{R}$. %  When $\\F = \\CC$, this approach has the minimax variance among all  trace estimators of the form~\\eqref{eqn:trace-est}--\\eqref{eqn:trace-est-avg}.  %  We return to this example in Section~\\ref{sec:near-isotropic}.  \\begin{algorithm}[t]  \\begin{algorithmic}[1]  \\caption{\\textit{Trace estimation by random sampling.} \\newline  See Section~\\ref{sec:trace-est-basic}.}  \\label{alg:trace-est}  \\Require\tPsd input matrix $\\mtx{A} \\in \\Sym_n$, number $k$ of samples  \\Ensure\t\tTrace estimate $\\bar{X}_k$ and sample variance $S_k$  \\Statex  \\Function{TraceEstimate}{$\\mtx{A}$, $k$}  \\For{$i = 1, \\dots, k$}  \t\\Comment Compute trace samples  \\State\tDraw isotropic test vector $\\vct{\\omega}_i \\in \\F^n$  \\State\tCompute $X_i = \\vct{\\omega}_i^* (\\mtx{A} \\vct{\\omega}_i)$  \\EndFor  \\State\tForm trace estimator: $\\bar{X}_k = k^{-1} \\sum_{i=1}^k X_i$  \\State\tForm sample variance: $S_k = (k-1)^{-1} \\sum_{i=1}^k (X_i - \\bar{X}_k)^2$  \\Statex  \\Comment\tUse compensated summation techniques for large $k$!  %  \\EndFunction  \\end{algorithmic}  \\end{algorithm}  \\begin{remark}[General matrices]  The assumption that $\\mtx{A}$ is psd allows us  to conclude that the standard deviation  of the randomized trace estimate is smaller  than the trace of the matrix.  The same methods allow us to estimate the  trace of a general square matrix, but the  variance of the estimator may no longer  be comparable with the trace.  \\end{remark}  \\subsection{{A priori} error estimates}  We can use theoretical analysis']"
,,,"['The analysis of the SLQ approximation requires heavy machineryfrom approximation theory.%See~\\citeasnoun{GM10:Matrices-Moments}and~\\citeasnoun{UCS17:Fast-Estimation} for more details.Algorithm~\\ref{alg:slq} contains pseudocode for SLQ.The dominant cost is$O(kq)$ matrix--vector multiplies with $\\mtx{A}$,plus $O(k q^2)$ additional arithmetic.  We recommendusing structured random test vectors to reduce the varianceof the resulting approximation.  The storage cost is$O(qn)$ numbers. <!--TRUNCATED-->']"
,,,"['We can store a sparse embedding using about $O(\\zeta n \\log d)$numbers.  We can apply it to a vector in $\\F^n$ with $O(\\zeta n)$arithmetic operations.  The main disadvantage is that we must use sparsedata structures and arithmetic to achieve these benefits.  Sparse signmatrices have similar performance to Gaussian embeddings.\\citeasnoun{Coh16:Nearly-Tight-Oblivious} has shown that a sparse signmatrix serves as an oblivious subspace embedding with constant distortionfor an arbitrary $k$-dimensional subspace of $\\RR^n$ whenthe embedding dimension $d = O(k \\log k)$ andthe per-column sparsity $\\zeta = O(\\log k)$.It is conjectured that improvements are still possible.\\begin{remark}[History]Sparse random embeddings emerged from the work of\\citeasnoun{Ach03:Database-Friendly-Random}and \\citeasnoun{CCF04:Finding-Frequent}.For randomized linear algebra applications, sparse embeddingswere promoted in~\\cite{CW13:Low-Rank-Approximation,MM13:Low-Distortion-Subspace,NN13:OSNAP-Faster}and~\\cite{Ura13:Fast-Randomized}.Analyses of the embedding behavior of a sparse map appear in \\cite{BDN15:Toward-Unified} and~\\cite{Coh16:Nearly-Tight-Oblivious}.\\end{remark}']"
,,,"['\\subsubsection{Gaussian test matrices}We can obtain precise results for the behaviorof the randomized rangefinder when the testmatrix is (real) standard normal.Let us present a variant of~\\citeasnoun[Thm.~10.1]{HMT11:Finding-Structure}.\\begin{theorem}[Rangefinder: Gaussian analysis] \\label{thm:rrf-gauss}Fix a matrix $\\mtx{B} \\in \\RR^{m \\times n}$ with singular values$\\sigma_1 \\geq \\sigma_2 \\geq \\dots$.Draw a standard normal test matrix $\\mtx{\\Omega} \\in \\F^{n \\times \\ell}$,and construct the sample matrix $\\mtx{Y} = \\mtx{B\\Omega}$.Choose $k < \\ell - 1$, and introduce the random variable$$Z = \\norm{ \\mtx{\\Gamma}^\\pinv }\\quad\\text{where $\\mtx{\\Gamma} \\in \\RR^{k \\times \\ell}$ is standard normal.}$$Then the expected error in the random rangefinder satisfies$$\\Expect \\norm{(\\Id - \\mtx{P}_{\\mtx{Y}}) \\mtx{B}}\t\\leq \\left( 1 + \\sqrt{\\frac{k}{\\ell-k-1}} \\right) \\sigma_{k+1}\t\t+ (\\Expect Z) \\left(\\sum\\nolimits_{j > k} \\sigma_{j}^2\\right)^{1/2}.$$\\end{theorem}In other words, the randomized rangefinder computesan $\\ell$-dimensional subspace that captures as much of theaction of the matrix $\\mtx{B}$ as the best $k$-dimensionalsubspace.  If we think about $k$ as fixed and $\\ell$ as the variable,we only need to choose $\\ell$ slightly larger than $k$ to enjoy this outcome.The error is comparable with $\\sigma_{k+1}$, the error in the best rank-$k$approximation, provided that the tail singular values$\\sigma_{j}$ for $j > k$ have small $\\ell_2$ norm.This situation occurs, for example, when $\\mtx{B}$has a rapidly decaying spectrum. <!--TRUNCATED-->']"
,,,"['There is no guarantee that the rank $k$ (that is, the number of rows or columns involved)will be close to the rank of the truncated SVD.  How close can we get in practice?When the singular values of $\\mtx{A}$ decay rapidly, then the minimal rank attainableby an approximate ID is close to what is attainable with an SVD.  Moreover,the algorithms we will describe for computing an ID produce an answer that is closeto the optimal one.When the singular values decay slowly, however,the difference in rank between the optimal ID and the optimal SVDcan be quite substantial \\cite{gu1996}.On top of that, the algorithms used to compute the ID can result in answers thatare still further away from the optimal value \\cite{2005_martinsson_skel}.<!--TRUNCATED-->']"
,,,"['The randomized Kaczmarz (RK) algorithm uses a probabilistic controlmechanism instead.  This kind of approach also has a long history,and it is useful in cases where cyclic control is ineffective.The RK method has received renewed attention owing to work of\\citeasnoun{SV09:Randomized-Kaczmarz}.They proposed sampling each $j(t)$ independently at random,with the probability of choosing the $i$th equation proportional to thesquared $\\ell_2$ norm of the $i$th column of $\\mtx{A}$.They proved that this version of RK converges linearly with a rate determined by the(Demmel) condition number of the matrix $\\mtx{A}$.  Later,it was recognized that this approach is just a particularinstantiation of SGD for the least-squares problem~\\eqref{eq:Ax=b_kacz}.See \\citeasnoun{2014_needell_randomized_kaczmarz}, which drawson results from \\citeasnoun{2011_bach_moulines}.There are many subsequent papers that have built on the RKapproach for solving inconsistent linear systems.\\citeasnoun{LL10:Randomized-Methods} observed that relatedideas can be used to design randomized Gauss--Seideland randomized Jacobi iterations.\\citeasnoun{2014_tropp_needell_paved} studied a blocked versionof the RK algorithm, which is practically more efficientfor many of the same reasons that other blocked algorithmswork well (Section~\\ref{sec:blocking}).\\citeasnoun{2015_richtarik_randomized_kaczmarz} observedthat the RK algorithm is a particular type of iterativesketching method.  Based on this connection, they proposeda generalization.  At each iteration, we draw anindependent random embedding $\\mtx{S}_t \\in \\F^{\\ell \\times m}$.The next iterate is chosen by solving the least-squares problem\\begin{equation}\\label{eq:Ax=b_kacz_proj0}\\vct{x}_{t} = \\argmin\\nolimits_{\\vct{y}} \\norm{ \\vct{x}_{t-1} - \\vct{y} }^2\\quad\\text{subject to}\\quad\\mtx{S}_t \\mtx{A}^* \\vct{y} = \\mtx{S}_t \\vct{b}.\\end{equation}The idea is to choose the dimension $\\ell$ sufficiently small thatthe sketched least-squares problem can be solved explicitlyusing a direct method (e.g., QR factorization).This flexibility leads to algorithms that converge more rapidly in practicebecause the sketch $\\mtx{S}_t$ can mix equations instead of just sampling.Later, \\citeasnoun{RT17:Stochastic-Reformulations}showed that this procedure can be accelerated to achieverates that depend on the \\emph{square root} of an appropriate conditionnumber; see also \\citeasnoun{GHRS18:Accelerated-Stochastic}.<!--TRUNCATED-->']"
,,,"['\\subsubsection{Stars and cliques}\\label{sec:star-clique}To describe the Cholesky algorithm on a graph, we need tointroduce a few more concepts from graph theory.%Define the \\emph{degree} and the \\emph{total weight} of a vertex $u$ in the multigraph $\\mtx{L}$ to be$$\\operatorname{deg}_{\\mtx{L}}(u) := \\sum\\nolimits_{e=uv \\in \\mtx{L}} 1\\quad\\text{and}\\quadw_{\\mtx{L}}(u) := \\sum\\nolimits_{e = uv \\in \\mtx{L}} w_{\\mtx{L}}(e).$$In other words, the degree of $u$ is the total number of multiedges $e$ that contain $u$.The total weight of $u$ is the sum of the weights of the multiedges $e$ that contain $u$.Let $u$ be a fixed vertex.  The \\emph{star}induced by $u$ is the Laplacian$$\\textsc{star}(u, \\mtx{L}) := \\sum\\nolimits_{e = uv \\in \\mtx{L}} w_{\\mtx{L}}(e) \\, \\mtx{\\Delta}_e.$$In words, the star includes precisely those multiedges $e$ in the multigraph $\\mtx{L}$that contain the vertex $u$.The \\emph{clique} induced by $u$ is defined implicitly as the correctionthat occurs when we take the Schur complement~\\eqref{eqn:schur-complement} of the Laplacian withrespect to the coordinate $u$:$$\\mtx{L} / \\vct{\\delta}_u %\t=: (\\mtx{L} - \\textsc{star}(u, \\mtx{L})) + \\textsc{clique}(u, \\mtx{L}).$$%%Recall that $\\vct{\\delta}_u$ is the standard basis vector in coordinate $u$.By direct calculation, one may verify that$$\\textsc{clique}(u, \\mtx{L}) = \\frac{1}{2 w_{\\mtx{L}}(u)} \\sum\\limits_{e_1 = uv_1 \\in \\mtx{L}} \\sum\\limits_{e_2 = uv_2 \\in \\mtx{L}}\tw_{\\mtx{L}}(e_1) w_{\\mtx{L}}(e_2) \\mtx{\\Delta}_{v_1v_2}.$$Each sum takes place over all multiedges $e$ in $\\mtx{L}$ that contain the vertex $u$.It can be verified that the clique is also the Laplacian of a weighted multigraph. <!--TRUNCATED-->']"
,,,"['Let $\\mtx{\\Omega} \\in \\F^{n \\times s}$ be a random test matrix,with $s > \\ell$.  By performing rank-one updates, we can efficiently maintainthe sample matrices$$\\mtx{Y}_t = \\bar{\\mtx{Z}}_t \\mtx{\\Omega} \\in \\F^{n \\times s}\\quad\\text{for $t = 1, 2, 3, \\dots$.}$$After collecting a sufficient number $r$ of samples, we canapply Algorithm~\\ref{alg:random-nystrom} to $\\mtx{Y}_t$ toobtain a near-optimal rank-$\\ell$ eigenvalue decompositionof the empirical approximation $\\bar{\\mtx{Z}}_r$.It usually suffices to take the sketch size $s$ to be proportionalto the rank $\\ell$ of the truncated eigenvalue decomposition.In this case, the overall approach uses $\\bigO(\\ell n)$ storage.  We can generate andprocess $r$ random features using $\\bigO((d+\\ell)rn)$ arithmetic, where $d$ is the dimension of $\\mathcal{X}$.The subsequent cost of the Nystr{\\""o}m approximation is $\\bigO(\\ell^2 n)$ operations.The streaming random features approach has storage and arithmetic costsroughly $\\ell / r$ times those of the direct random features approach.The streaming method can be combined with dimension reduction techniques(Section~\\ref{sec:fastfood}) for further acceleration.']"
